text,label,Word Count,Sentence Count,tokens,text_length
बजार ले जसरी टरेनड चेनज गरयो यो हेरदा ततकाल परोफिट बूकिङ आउने समभावना रहेन भोलि अरको टरेनड समातन सकने अबसथा पनि दरो छ,Neutral,23,1,"['बजार', 'टरेनड', 'चेनज', 'गरयो', 'हेरदा', 'ततकाल', 'परोफिट', 'बूकिङ', 'आउने', 'समभावना', 'रहेन', 'भोलि', 'अरको', 'टरेनड', 'समातन', 'सकने', 'अबसथा', 'दरो']",117
1000 अंकले घटेको नेपसे 200 अंकले बढनु ठूलो कुरो होइन अझै पनि किनने अवसर छ है,Positive,16,1,"['1000', 'अंकले', 'घटेको', 'नेपसे', '200', 'अंकले', 'बढनु', 'ठूलो', 'कुरो', 'होइन', 'अझै', 'किनने', 'अवसर']",76
होइन यो सानिमा बैंक ले bonus घोसणा गरेको २ महिना भयो book close अहिले समम खातामा आउदैन त बयाज संग दिने योजना रहेछ कि कया हो,Neutral,26,1,"['होइन', 'सानिमा', 'बैंक', 'bonus', 'घोसणा', 'गरेको', '२', 'महिना', 'book', 'close', 'समम', 'खातामा', 'आउदैन', 'बयाज', 'दिने', 'योजना', 'रहेछ', 'कि', 'कया']",123
खैँ MBJC परति किततामा रू10ले बढेर आज रू1100 मातर भयो 10कितताको,Neutral,11,1,"['खैँ', 'MBJC', 'परति', 'किततामा', 'रू10ले', 'बढेर', 'रू1100', 'मातर', '10कितताको']",62
रामरो भयो,Positive,2,1,['रामरो'],9
मधयभोटेकोशिको शेयर करमचारी संञचयकोष का संञचयकरताहरुको नाममा परेको शेयर कहिले मेरो शेयरमा देखाउँछ होला परषट पारिदिनु होला,Neutral,17,1,"['मधयभोटेकोशिको', 'शेयर', 'करमचारी', 'संञचयकोष', 'संञचयकरताहरुको', 'नाममा', 'परेको', 'शेयर', 'कहिले', 'मेरो', 'शेयरमा', 'देखाउँछ', 'परषट', 'पारिदिनु']",120
जानकारीको लागि धनयवाद रामहरी बरदर,Positive,5,1,"['जानकारीको', 'धनयवाद', 'रामहरी', 'बरदर']",33
हाईडरो र फाइनानस बुम बुम भनन छोडिएछ त,Neutral,8,1,"['हाईडरो', 'फाइनानस', 'बुम', 'बुम', 'भनन', 'छोडिएछ']",37
Profit booking ले यतरो अङकको गिरावट त नआउनु परने केहि हदसमम पयानीक नै देखियो अझ पनि लगानीकरताहरू विशवसत देखिएन फेरि पनि पयानीक आउने समभावना देखियो,Neutral,25,1,"['Profit', 'booking', 'यतरो', 'अङकको', 'गिरावट', 'नआउनु', 'परने', 'हदसमम', 'पयानीक', 'देखियो', 'अझ', 'लगानीकरताहरू', 'विशवसत', 'देखिएन', 'पयानीक', 'आउने', 'समभावना', 'देखियो']",146
फेरि भरचुअल मिटिङ कहिले हुनछ दाजु हजुर जानकारी गराउनुस है,Neutral,10,1,"['भरचुअल', 'मिटिङ', 'कहिले', 'दाजु', 'हजुर', 'गराउनुस']",57
